CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-03 00:00,21.2,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-05 00:00,20.2,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-06 00:00,19.6,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-07 00:00,19.2,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-08 00:00,19.4,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-09 00:00,20,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-10 00:00,21,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-13 00:00,20.6,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-14 00:00,17,50,,900
21206260,C.UNIV.AGROP-UDCA [21206260],4.7986388890,-74.04972222,2570,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Bogota,"Bogota, D.C",15/12/1988 00:00,,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,2023-06-15 00:00,17.8,50,,900
